 ;Pedido Id;Data/Hora;Situação;Situação;Situação - Transporte;Marketplace;Forma de Pagamento;Forma de Recebimento;Serviço Transportadora;Valor Produto;Valor Desconto;Valor Acréscimo;Valor Frete;Valor Frete Transportadora;Valor Total;Valor Total Pedido;Loja;Obs.;Origem - Pedido
transporte;1373;16/09/2024 08:57;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,09;8,26;21,99;21,99;1 - Dica de Madame;;Marketplace
transporte;1372;16/09/2024 08:57;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,68;8,71;22,58;22,58;1 - Dica de Madame;;Marketplace
transporte;1371;16/09/2024 08:57;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;48,9;0;0;14,28;11,36;63,18;63,18;1 - Dica de Madame;;Marketplace
transporte;1370;16/09/2024 08:57;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;21,9;0;0;13;8,45;34,9;34,9;1 - Dica de Madame;;Marketplace
transporte;1369;16/09/2024 08:57;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;24,9;0;0;14,42;9,26;39,32;39,32;1 - Dica de Madame;;Marketplace
transporte;1368;16/09/2024 08:56;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;24,9;0;0;13,78;10,2;38,68;38,68;1 - Dica de Madame;;Marketplace
transporte;1367;16/09/2024 08:56;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;41,8;0;0;15;11,72;56,8;56,8;1 - Dica de Madame;;Marketplace
transporte;1366;16/09/2024 08:56;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;59,8;0;0;13,48;9,03;73,28;73,28;1 - Dica de Madame;;Marketplace
transporte;1365;16/09/2024 08:56;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;6,9;0;0;13;8,47;19,9;19,9;1 - Dica de Madame;1;Marketplace
transporte;1364;16/09/2024 08:56;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;13,62;8,31;33,52;33,52;1 - Dica de Madame;;Marketplace
transporte;1363;16/09/2024 08:56;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,68;9,97;22,58;22,58;1 - Dica de Madame;;Marketplace
transporte;1362;16/09/2024 08:56;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;14,9;0;0;13,62;10,06;28,52;28,52;1 - Dica de Madame;;Marketplace
transporte;1361;16/09/2024 08:56;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;25,9;0;0;14,16;9,7;40,06;40,06;1 - Dica de Madame;;Marketplace
transporte;1360;16/09/2024 08:55;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;13,03;8,26;21,93;21,93;1 - Dica de Madame;;Marketplace
transporte;1359;16/09/2024 08:55;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;24,9;0;0;16,42;9,11;41,32;41,32;1 - Dica de Madame;;Marketplace
transporte;1358;16/09/2024 08:55;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;14,12;11,78;23,02;23,02;1 - Dica de Madame;;Marketplace
